city,city_ascii,lat,lng,country,iso2,admin_name
Ndjamba,Ndjamba,-14.7,16.0667,Angola,AO,Huila
Humpata,Humpata,-15.0,13.3333,Angola,AO,Huila
Xá Muteba,Xa Muteba,-9.5167,17.8167,Angola,AO,Lunda-Norte
Quela,Quela,-9.3833,17.05,Angola,AO,Malanje
Camabatela,Camabatela,-8.1833,15.3667,Angola,AO,Cuanza-Norte
Cuemba,Cuemba,-12.15,18.0833,Angola,AO,Bie
Ambriz,Ambriz,-7.85,13.1167,Angola,AO,Bengo
Balombo,Balombo,-12.35,14.7667,Angola,AO,Benguela
Sungo,Sungo,-11.2333,14.3167,Angola,AO,Cuanza-Sul
Bembe,Bembe,-7.1,14.45,Angola,AO,Uige
Porto Amboim,Porto Amboim,-10.7183,13.75,Angola,AO,Cuanza-Sul
Cunhinga,Cunhinga,-12.2333,16.7833,Angola,AO,Bie
Maquela do Zombo,Maquela do Zombo,-6.05,15.1167,Angola,AO,Uige
Catabola,Catabola,-12.1167,17.3,Angola,AO,Bie
Quipungo,Quipungo,-14.8167,14.55,Angola,AO,Huila
Benguela,Benguela,-12.55,13.4167,Angola,AO,Benguela
Calandala,Calandala,-9.0667,17.9,Angola,AO,Lunda-Norte
Dundo,Dundo,-7.3801,20.8351,Angola,AO,Lunda-Norte
Cubal,Cubal,-13.0333,14.25,Angola,AO,Benguela
Massango,Massango,-11.3167,14.9333,Angola,AO,Cuanza-Sul
Chipindo,Chipindo,-13.8244,15.8,Angola,AO,Huila
Luau,Luau,-10.7044,22.2283,Angola,AO,Moxico
Ebo,Ebo,-11.0,14.6667,Angola,AO,Cuanza-Sul
Virei,Virei,-15.7167,12.95,Angola,AO,Namibe
Calulo,Calulo,-10.0007,14.901,Angola,AO,Cuanza-Sul
Lubango,Lubango,-14.9167,13.5,Angola,AO,Huila
Luacano,Luacano,-11.2167,21.65,Angola,AO,Moxico
Nambuangongo,Nambuangongo,-8.0167,14.2,Angola,AO,Bengo
Capenda Camulemba,Capenda Camulemba,-9.4233,18.4328,Angola,AO,Lunda-Norte
Bocoio,Bocoio,-12.45,14.15,Angola,AO,Benguela
Cuvelai,Cuvelai,-15.6667,15.8,Angola,AO,Cunene
Mbanza Kongo,Mbanza Kongo,-6.2678,14.2481,Angola,AO,Zaire
Luanda,Luanda,-8.8383,13.2344,Angola,AO,Luanda
Ndulo,Ndulo,-11.4833,15.8333,Angola,AO,Huambo
Londuimbali,Londuimbali,-12.2419,15.3133,Angola,AO,Huambo
Saurimo,Saurimo,-9.65,20.4,Angola,AO,Lunda-Sul
Lobito,Lobito,-12.3667,13.5333,Angola,AO,Benguela
Nova Esperança,Nova Esperanca,-6.7333,15.9,Angola,AO,Uige
Luena,Luena,-11.7918,19.9062,Angola,AO,Moxico
Cuito,Cuito,-12.3833,16.9333,Angola,AO,Bie
Lubalo,Lubalo,-9.15,19.2833,Angola,AO,Lunda-Norte
Cazenga,Cazenga,-8.8214,13.2911,Angola,AO,Luanda
Tchitato,Tchitato,-7.3667,20.8333,Angola,AO,Lunda-Norte
Cazombo,Cazombo,-11.9058,22.9217,Angola,AO,Moxico
Quilevo,Quilevo,-7.6167,15.05,Angola,AO,Uige
Golungo Alto,Golungo Alto,-9.1333,14.7667,Angola,AO,Cuanza-Norte
Luquembo,Luquembo,-10.7333,17.8833,Angola,AO,Malanje
Baía Farta,Baia Farta,-12.6072,13.1944,Angola,AO,Benguela
Ndalatando,Ndalatando,-9.3,14.9167,Angola,AO,Cuanza-Norte
Nóqui,Noqui,-5.8681,13.4325,Angola,AO,Zaire
Cacuso,Cacuso,-8.2333,15.35,Angola,AO,Cuanza-Norte
Cuito Cuanavale,Cuito Cuanavale,-15.1667,19.1667,Angola,AO,Cuando Cubango
Lucala,Lucala,-9.6333,14.0667,Angola,AO,Bengo
Quimbele,Quimbele,-6.5167,16.2167,Angola,AO,Uige
Cassongue,Cassongue,-11.8333,15.0,Angola,AO,Cuanza-Sul
Caluquembe,Caluquembe,-13.7833,14.6833,Angola,AO,Huila
Quilengues,Quilengues,-14.0814,14.0931,Angola,AO,Huila
Buco Zau,Buco Zau,-4.95,12.6167,Angola,AO,Cabinda
Malanje,Malanje,-9.5333,16.35,Angola,AO,Malanje
Ucuma,Ucuma,-12.85,15.0667,Angola,AO,Huambo
Porto Alexandre,PortoAlexandre,-15.8,11.85,Angola,AO,Namibe
Bibala,Bibala,-14.7667,13.35,Angola,AO,Namibe
Cambambe,Cambambe,-9.7586,14.5122,Angola,AO,Cuanza-Norte
Mungo,Mungo,-11.6667,16.1667,Angola,AO,Huambo
Quibala,Quibala,-10.7333,14.9833,Angola,AO,Cuanza-Sul
Muconda,Muconda,-10.6,21.3167,Angola,AO,Lunda-Sul
Quiculungo,Quiculungo,-8.5167,15.3167,Angola,AO,Cuanza-Norte
Moçâmedes,Mocamedes,-15.1953,12.1508,Angola,AO,Namibe
Punta Indio,Punta Indio,-35.2667,-57.2167,Argentina,AR,Buenos Aires
Profesor Salvador Mazza,Profesor Salvador Mazza,-22.05,-63.7,Argentina,AR,Salta
Villa Cañás,Villa Canas,-34.0,-61.6,Argentina,AR,Santa Fe
Aldo Bonzi,Aldo Bonzi,-34.7083,-58.5181,Argentina,AR,Buenos Aires
Ingeniero White,Ingeniero White,-38.7667,-62.2667,Argentina,AR,Buenos Aires
Coronel Dorrego,Coronel Dorrego,-38.7,-61.2667,Argentina,AR,Buenos Aires
Comallo,Comallo,-41.0333,-70.2667,Argentina,AR,Rio Negro
Comandante Fontana,Comandante Fontana,-25.3333,-59.6833,Argentina,AR,Formosa
Cañada de Gómez,Canada de Gomez,-32.8167,-61.4,Argentina,AR,Santa Fe
Rafaela,Rafaela,-31.2667,-61.4833,Argentina,AR,Santa Fe
Pinamar,Pinamar,-37.1,-56.85,Argentina,AR,Buenos Aires
San Antonio Oeste,San Antonio Oeste,-40.7333,-64.95,Argentina,AR,Rio Negro
Carcarañá,Carcarana,-32.85,-61.15,Argentina,AR,Santa Fe
Santiago del Estero,Santiago del Estero,-27.7833,-64.2667,Argentina,AR,Santiago del Estero
Capitán Bermúdez,Capitan Bermudez,-32.8167,-60.7167,Argentina,AR,Santa Fe
Esquel,Esquel,-42.9,-71.3167,Argentina,AR,Chubut
Rufino,Rufino,-34.2667,-62.7,Argentina,AR,Santa Fe
San Salvador de Jujuy,San Salvador de Jujuy,-24.1833,-65.3,Argentina,AR,Jujuy
Junín de los Andes,Junin de los Andes,-39.9167,-71.0667,Argentina,AR,Neuquen
Villa Aberastain,Villa Aberastain,-31.65,-68.5833,Argentina,AR,San Juan
General San Martín,General San Martin,-34.5667,-58.5333,Argentina,AR,Buenos Aires
Carlos Casares,Carlos Casares,-35.6167,-61.3667,Argentina,AR,Buenos Aires
Tornquist,Tornquist,-38.1,-62.2167,Argentina,AR,Buenos Aires
Chajarí,Chajari,-30.7667,-57.9833,Argentina,AR,Entre Rios
Trenque Lauquen,Trenque Lauquen,-35.9667,-62.7,Argentina,AR,Buenos Aires
General Villegas,General Villegas,-35.0333,-63.0167,Argentina,AR,Buenos Aires
Choele Choel,Choele Choel,-39.2667,-65.6833,Argentina,AR,Rio Negro
Coronda,Coronda,-31.9667,-60.9167,Argentina,AR,Santa Fe
Mburucuyá,Mburucuya,-28.05,-58.2333,Argentina,AR,Corrientes
Castelli,Castelli,-25.95,-60.6167,Argentina,AR,Chaco
Garupá,Garupa,-27.4833,-55.8333,Argentina,AR,Misiones
Tinogasta,Tinogasta,-28.0667,-67.5667,Argentina,AR,Catamarca
Jardín América,Jardin America,-27.05,-55.2333,Argentina,AR,Misiones
Libertador General San Martín,Libertador General San Martin,-23.8,-64.7833,Argentina,AR,Jujuy
Concepción del Uruguay,Concepcion del Uruguay,-32.4833,-58.2333,Argentina,AR,Entre Rios
Tafí Viejo,Tafi Viejo,-26.7333,-65.2667,Argentina,AR,Tucuman
Martín Coronado,Martin Coronado,-34.6,-58.55,Argentina,AR,Buenos Aires
Mar del Plata,Mar del Plata,-38.0,-57.55,Argentina,AR,Buenos Aires
Federación,Federacion,-30.9833,-57.9167,Argentina,AR,Entre Rios
Recreo,Recreo,-29.2667,-65.0667,Argentina,AR,Catamarca
La Rioja,La Rioja,-29.4125,-66.8542,Argentina,AR,La Rioja
General Las Heras,General Las Heras,-34.9333,-58.95,Argentina,AR,Buenos Aires
Rosario del Tala,Rosario del Tala,-32.3,-59.1333,Argentina,AR,Entre Rios
General Martín Miguel de Güemes,General Martin Miguel de Guemes,-24.6667,-65.05,Argentina,AR,Salta
Berazategui,Berazategui,-34.7167,-58.25,Argentina,AR,Buenos Aires
Villa Constitución,Villa Constitucion,-33.2333,-60.3333,Argentina,AR,Santa Fe
Embalse,Embalse,-32.1833,-64.4167,Argentina,AR,Cordoba
Abra Pampa,Abra Pampa,-22.7167,-65.7,Argentina,AR,Jujuy
Virreyes,Virreyes,-34.45,-58.5333,Argentina,AR,Buenos Aires
Lanús,Lanus,-34.7,-58.4,Argentina,AR,Buenos Aires
Catriel,Catriel,-37.8667,-67.8333,Argentina,AR,Rio Negro
La Leonesa,La Leonesa,-27.05,-58.7167,Argentina,AR,Chaco
Longchamps,Longchamps,-34.85,-58.3833,Argentina,AR,Buenos Aires
Villalonga,Villalonga,-39.8829,-62.5833,Argentina,AR,Buenos Aires
Carhué,Carhue,-37.1796,-62.7601,Argentina,AR,Buenos Aires
Carmen de Patagones,Carmen de Patagones,-40.7833,-62.9667,Argentina,AR,Buenos Aires
Firmat,Firmat,-33.45,-61.4833,Argentina,AR,Santa Fe
Baradero,Baradero,-33.8,-59.5167,Argentina,AR,Buenos Aires
Arroyo Seco,Arroyo Seco,-33.1667,-60.5,Argentina,AR,Santa Fe
Río Mayo,Rio Mayo,-45.6869,-70.26,Argentina,AR,Chubut
Temperley,Temperley,-34.7667,-58.3833,Argentina,AR,Buenos Aires
Gobernador Virasora,Gobernador Virasora,-28.05,-56.0333,Argentina,AR,Corrientes
Cruz del Eje,Cruz del Eje,-30.7333,-64.8,Argentina,AR,Cordoba
Libertad,Libertad,-34.6833,-58.6833,Argentina,AR,Buenos Aires
Gálvez,Galvez,-32.0333,-61.2167,Argentina,AR,Santa Fe
Leones,Leones,-32.6617,-62.2967,Argentina,AR,Cordoba
General Juan Madariaga,General Juan Madariaga,-37.0167,-57.1333,Argentina,AR,Buenos Aires
